she,he
her,his
herself,himself
ms,mr
mrs,mr
woman,man
womans,mans
women,men
girl,boy
girls,boys
mother,father
mothers,fathers
stepmother,stepfather
stepmothers,stepfathers
sister,brother
sisters,brothers
stepsister,stepbrother
stepsisters,stepbrothers
wife,husband
wives,husbands
daughter,son
daughters,sons
stepdaugther,stepson
stepdaugthers,stepsons
grandmother,grandfather
grandmothers,grandfathers
aunt,uncle
aunts,uncles
niece,nephew
nieces,nephews
miss,mister
misses,misters
madam,sir
madams,sirs
female,male
females,males
queen,king
queens,kings
lady,lord
ladies,lords
duchess,duke
duchesses,dukes
countess,count
countesses,counts
princess,prince
princesses,princes
fiancée,fiancé
fiancées,fiancés
noblewomen,noblemen
noblewoman,nobleman
monarch,patriarch
monarchs,patriarchs
monarchy,patriarchy
monarchies,patriarchies
empress,emperor
empresses,emperors
archduchess,archduke
archduchesses,archdukes
marchioness,marquess
marchionesses,marquesss
viscountess,viscount
viscountesses,viscounts
baroness,baron
baronesses,barons
baronetess,baronet
baronetesses,baronets
gentlewoman,gentleman
gentlewomen,gentlemen
bachelorette,bachelor
bachelorettes,bachelors
bride,bridegroom
brides,bridegrooms
bridesmaid,groomsman
bridesmaids,groomsmen
mademoiselle,monsieur
mademoiselles,monsieurs
madame,monsieure
madames,monsieures
maam,sire
maams,sires
girlish,boyish
gal,guy
gals,guys
lass,ladd
lasses,ladds
sistren,brethren
sistrens,brethrens
sorority,fraternity
sororities,fraternities
ladyship,lordship
ladyships,lordships
widow,widower
widows,widowers
mom,dad
moms,dads
mama,papa
mamas,papas
mommy,daddy
mommies,daddies
ma,pa
mas,pas
meme,pepe
memes,pepes
grandma,grandpa
grandmas,grandpas
damsel,naive
damsels,naives
maiden,lad
maidens,lads
landlady,landlord
landladies,landlords
countrywoman,countryman
countrywomen,countrymen
queendom,kingdom
queendoms,kingdoms
englishwoman,englishman
englishwomen,englishmen
frenchwoman,frenchman
frenchwomen,frenchmen
maid,manservant
maids,manservants
womanhood,manhood
motherhood,fatherhood
sisterhood,brotherhood
womankind,mankind
tradeswoman,tradesman
tradeswomen,tradesmen
seawoman,seaman
seawomen,seamen
policewoman,policeman
policewomen,policemen
mistress,gigolo
mistresses,gigolos
cabwoman,cabman
coachwoman,coachman
clergywoman,clergyman
chairwoman,chairman
forewoman,foreman
jurywoman,juryman
jurywomen,jurymen
guardswomen,guardsmen
guardswoman,guardsman
swordswoman,swordsman
saleswoman,salesman
footwoman,footman
footwomen,footmen
workwomen,workmen
workwoman,workman
firewoman,fireman
firewomen,firemen
tomgirl,tomboy
womanly,manly
girlfriend,boyfriend
girlfriends,boyfriends
feminine,masculine
femininity,masculinity
barmaid,barman
barmaids,barmen
actress,actor
actresses,actors
madwoman,madman
madwomen,madmen
kinswoman,kinsman
kinswomen,kinsmen
hangwoman,hangman
womenfolk,menfolk
