Sherlock,Charlotte
John,Joan
Godfrey,Gloria
Wilhelm,Wilhelmine
Jabez,Jovina
Vincent,Vincentia
Peter,Patricia
Hosmer,Hazel
Charles,Charlene
James,Jane
Elias,Elisa
Joseph,Josephine
Isa,Isma
Neville,Niveah
Hugh,Hannah
Henry,Henrietta
Grimesby,Genoaby
Lysander,Lysandra
Victor,Victoria
Robert,Roberta
Aloysius,Agatha
Francis,Frances
Alexander,Alexandra
Arthur,Althea
George,Gertrude
Spence,Sarah
Jephro,Jennifer
Ezekiah,Eliza
Duncan,Gillian
Archie,Annie
Percy,Penny
Fritz,Frieda
Jeremiah,Jessica
Frank,Fran
