he,she
hes,shes
him,her
his,hers
himself,herself
mr,ms
mrr,mrs
man,woman
mans,womans
boy,girl
boys,girls
father,mother
fathers,mothers
stepfather,stepmother
stepfathers,stepmothers
brother,sister
brothers,sisters
stepbrother,stepsister
stepbrothers,stepsisters
husband,wife
husbands,wifes
son,daughter
sons,daughters
stepson,stepdaugther
stepsons,stepdaugthers
grandfather,grandmother
grandfathers,grandmothers
uncle,aunt
uncles,aunts
nephew,niece
nephews,nieces
mister,miss
misters,misses
sir,madam
sirs,madams
male,female
males,females
men,women
mens,womens
king,queen
kings,queens
lord,lady
lords,ladys
duke,duchess
dukes,duchesss
count,countess
counts,countesss
prince,princess
princes,princesss
fiancé,fiancée
fiancés,fiancées
noblemen,noblewomen
nobleman,noblewoman
patriarch,monarch
patriarchs,monarchs
patriarchy,monarchy
emperor,empress
emperors,empresss
archduke,archduchess
archdukes,archduchesss
marquess,marchioness
marquesss,marchionesss
viscount,viscountess
viscounts,viscountesss
baron,baroness
barons,baronesss
baronet,baronetess
baronets,baronetesss
gentleman,gentlewoman
gentlemans,gentlewomans
gentlemen,gentlewomen
gentlemens,gentlewomens
bachelor,bachelorette
bachelors,bachelorettes
bridegroom,bride
bridegrooms,brides
monsieur,mademoiselle
monsieurs,mademoiselles
monsieure,madame
monsieures,madames
sire,maam
sires,maams
boyish,girlish
guy,gal
guys,gals
lad,lass
lads,lasss
brethren,sistren
brethrens,sistrens
fraternity,sorority
fraternitys,sororitys
lordship,ladyship
lordships,ladyships
lordes,ladies
widower,widow
widowers,widows
dad,mom
dads,moms
papa,mama
papas,mamas
grandpa,grandma
grandpas,grandmas
naive,damsel
naives,damsels
ladd,maiden
ladds,maidens
landlord,landlady
landlords,landladys
countryman,countrywoman
kingdom,queendom
kingdoms,queendoms
englishman,englishwoman
manservant,maid
manservants,maids
pa,ma
pas,mas
manhood,womanhood
daddy,mommy
daddys,mommys
tradesman,tradeswoman
tradesmen,tradeswomen
tradesmens,tradeswomens
seaman,seawoman
policemen,policewomen
gigolo,mistress
gigolos,mistresss
mankind,womankind
frenchman,frenchwoman
cabman,cabwoman
coachman,coachwoman
clergyman,clergywoman
chairman,chairwoman
foreman,forewoman
juryman,jurywoman
policeman,policewoman
guardsmen,guardswomen
guardsman,guardswoman
swordsman,swordswoman
salesman,saleswoman
footman,footwoman
footmen,footwomen
workmen,workwomen
firemen,firewomen
