he,she
hes,shes
him,her
his,hers
himself,herself
mr,ms
man,woman
mans,womans
boy,girl
boys,girls
father,mother
fathers,mothers
brother,sister
brothers,sisters
husband,wife
husbands,wifes
son,daughter
sons,daughters
grandfather,grandmother
grandfathers,grandmothers
uncle,aunt
uncles,aunts
nephew,niece
nephews,nieces
mister,miss
misters,misses
sir,madam
sirs,madams
male,female
males,females
men,women
mens,womens
king,queen
kings,queens
lord,lady
lords,ladys
duke,duchess
dukes,duchesss
count,countess
counts,countesss
prince,princess
princes,princesss
fiancé,fiancée
fiancés,fiancées
noblemen,noblewomen
noblemens,noblewomens
patriarch,monarch
patriarchs,monarchs
patriarchy,monarchy
emperor,empress
emperors,empresss
archduke,archduchess
archdukes,archduchesss
marquess,marchioness
marquesss,marchionesss
viscount,viscountess
viscounts,viscountesss
baron,baroness
barons,baronesss
baronet,baronetess
baronets,baronetesss
gentleman,gentlewoman
gentlemans,gentlewomans
gentlemen,gentlewomen
gentlemens,gentlewomens
bachelor,bachelorette
bachelors,bachelorettes
bridegroom,bride
bridegrooms,brides
